english	german	score
/home/sander/Desktop/test_doc_alignment/en/cv_takkula_en.pdf	/home/sander/Desktop/test_doc_alignment/de/cv_takkula_de.pdf	0.9762167930603028
/home/sander/Desktop/test_doc_alignment/en/sisnet_2009_en.pdf	/home/sander/Desktop/test_doc_alignment/de/sisnet_2009_de.pdf	0.9741994738578796
/home/sander/Desktop/test_doc_alignment/en/cv_lehne_en.pdf	/home/sander/Desktop/test_doc_alignment/de/cv_lehne_de.pdf	0.9726994633674622
/home/sander/Desktop/test_doc_alignment/en/schools_2012_en.pdf	/home/sander/Desktop/test_doc_alignment/de/schools_2012_de.pdf	0.9725880026817322
/home/sander/Desktop/test_doc_alignment/en/cv_lindstrom_en.pdf	/home/sander/Desktop/test_doc_alignment/de/cv_lindstrom_de.pdf	0.9720128178596495
/home/sander/Desktop/test_doc_alignment/en/berec_2013_en.pdf	/home/sander/Desktop/test_doc_alignment/de/berec_2013_de.pdf	0.9712510704994202
/home/sander/Desktop/test_doc_alignment/en/sisnet_2012_en.pdf	/home/sander/Desktop/test_doc_alignment/de/sisnet_2012_de.pdf	0.9692383408546448
/home/sander/Desktop/test_doc_alignment/en/euratom_2013_en.pdf	/home/sander/Desktop/test_doc_alignment/de/euratom_2013_de.pdf	0.9679198265075684
/home/sander/Desktop/test_doc_alignment/en/eba_2013_en.pdf	/home/sander/Desktop/test_doc_alignment/de/eba_2013_de.pdf	0.9671247005462646
/home/sander/Desktop/test_doc_alignment/en/tentea_2013_en.pdf	/home/sander/Desktop/test_doc_alignment/de/tentea_2013_de.pdf	0.9670016169548036
/home/sander/Desktop/test_doc_alignment/en/sisnet_2013_en.pdf	/home/sander/Desktop/test_doc_alignment/de/sisnet_2013_de.pdf	0.96603661775589
/home/sander/Desktop/test_doc_alignment/en/cv_jakobsen_en.pdf	/home/sander/Desktop/test_doc_alignment/de/cv_jakobsen_de.pdf	0.9653671383857728
/home/sander/Desktop/test_doc_alignment/en/easa_2013_en.pdf	/home/sander/Desktop/test_doc_alignment/de/easa_2013_de.pdf	0.9653647541999816
/home/sander/Desktop/test_doc_alignment/en/gsa_2011_en.pdf	/home/sander/Desktop/test_doc_alignment/de/gsa_2011_de.pdf	0.9637616872787476
